,id,probability,time,image_number,value,classifier,created_at,updated_at,clip_id
66,67,73.3519434928894,,33,"African chameleon, Chamaeleo chamaeleon",image_classifier_mobilenet,2019-04-09 09:22:41,2019-04-09 09:22:41,9.0
67,68,90.23750424385071,,42,rapeseed,image_classifier_mobilenet,2019-04-09 09:22:41,2019-04-09 09:22:41,9.0
68,69,97.02468514442444,,43,rapeseed,image_classifier_mobilenet,2019-04-09 09:22:41,2019-04-09 09:22:41,9.0
69,70,95.86852788925171,,44,rapeseed,image_classifier_mobilenet,2019-04-09 09:22:41,2019-04-09 09:22:41,9.0
70,71,91.70497059822083,,45,rapeseed,image_classifier_mobilenet,2019-04-09 09:22:41,2019-04-09 09:22:41,9.0
71,72,97.27112650871277,,46,rapeseed,image_classifier_mobilenet,2019-04-09 09:22:41,2019-04-09 09:22:41,9.0
72,73,95.53220868110657,,47,rapeseed,image_classifier_mobilenet,2019-04-09 09:22:41,2019-04-09 09:22:41,9.0
73,74,97.33589887619019,,48,rapeseed,image_classifier_mobilenet,2019-04-09 09:22:41,2019-04-09 09:22:41,9.0
74,75,97.14152812957764,,49,rapeseed,image_classifier_mobilenet,2019-04-09 09:22:41,2019-04-09 09:22:41,9.0
75,76,96.1688756942749,,50,rapeseed,image_classifier_mobilenet,2019-04-09 09:22:41,2019-04-09 09:22:41,9.0
76,77,56.976163387298584,,2,window screen,image_classifier_mobilenet,2019-04-09 09:23:06,2019-04-09 09:23:06,7.0
77,78,53.84962558746338,,20,"jinrikisha, ricksha, rickshaw",image_classifier_mobilenet,2019-04-09 09:23:06,2019-04-09 09:23:06,7.0
78,79,50.38602948188782,,21,cowboy boot,image_classifier_mobilenet,2019-04-09 09:23:06,2019-04-09 09:23:06,7.0
79,80,53.354138135910034,,15,"spider web, spider's web",image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
80,81,56.46353363990784,,31,"African chameleon, Chamaeleo chamaeleon",image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
81,82,74.81808066368103,,33,"African chameleon, Chamaeleo chamaeleon",image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
82,83,84.30156707763672,,42,rapeseed,image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
83,84,97.6468026638031,,43,rapeseed,image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
84,85,96.69740200042725,,44,rapeseed,image_classifier_mobilenet,2019-04-09 11:00:29,2019-04-09 11:00:29,11.0
