encode_id,clip_id,encode_width,encode_height,clip_width,clip_height,clip_duration,clip_size,clip_bitrate_total,video_profile,clip_frame_rate,crf,encode_bitrate_video,nr_of_images,nr_of_image_shifts,psnr,vmaf
53,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,541016,3,8,33.083812,50.233929
54,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,477254,3,8,32.723235,46.700947
55,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,423397,3,8,32.352831,43.209918
56,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,377170,3,8,31.981596,39.864386
57,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,301491,3,8,31.225136,33.511773
58,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,243123,3,8,30.46567,27.803832
59,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,40,174518,3,8,29.295461,20.32363
60,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,43,126622,3,8,28.12403,14.393283
61,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,45,104034,3,8,27.325371,10.955153
62,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,50,56284,3,8,25.032562,5.215762
63,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,55,49899,3,8,24.717243,4.298901
64,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,2660757,3,8,36.027116,79.147928
65,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,2268317,3,8,35.844437,77.453785
66,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,1942336,3,8,35.645268,75.588479
67,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,1451417,3,8,35.201419,71.252856
68,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,1264769,3,8,34.956286,68.785073
69,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,956989,3,8,34.422429,63.397012
70,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,728968,3,8,33.820657,57.318616
71,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,559705,3,8,33.16229,50.733162
72,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,492236,3,8,32.816118,47.365311
73,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,434871,3,8,32.465148,43.912498
74,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,385628,3,8,32.10497,40.584433
75,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,342557,3,8,31.738635,37.397815
76,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,273807,3,8,31.005373,31.330402
77,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,220878,3,8,30.252975,25.890393
78,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,40,158164,3,8,29.101658,18.888551
79,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,43,115364,3,8,27.943944,13.194791
80,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,45,93481,3,8,27.137336,9.959657
81,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,50,50848,3,8,24.877293,4.595694
82,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,55,45050,3,8,24.530535,3.888878
83,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,1751542,3,8,34.62295,68.570336
84,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,1503660,3,8,34.472844,66.692959
85,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,1296380,3,8,34.30847,64.603179
86,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,977891,3,8,33.937157,59.930152
87,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,854829,3,8,33.730168,57.367596
88,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,651261,3,8,33.266341,51.764852
89,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,498631,3,8,32.747855,45.843303
90,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,384683,3,8,32.164037,39.764183
91,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,339267,3,8,31.854061,36.739741
92,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,298997,3,8,31.535731,33.79898
93,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,265140,3,8,31.204166,30.957714
94,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,236015,3,8,30.872845,28.377753
95,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,187400,3,8,30.174212,23.361526
96,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,150386,3,8,29.468803,19.121442
97,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,40,108183,3,8,28.368268,13.324106
98,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,43,78383,3,8,27.25058,8.805511
99,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,45,64011,3,8,26.464184,6.559711
100,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,50,34154,3,8,24.345369,2.56067
101,5,512,384,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,55,30289,3,8,24.042268,2.310595
102,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,1047075,3,8,33.039441,51.548355
103,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,908358,3,8,32.918524,49.611612
104,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,787932,3,8,32.786894,47.510371
105,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,601226,3,8,32.484977,43.002804
106,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,527151,3,8,32.315962,40.538454
107,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,405079,3,8,31.927046,35.531785
108,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,312657,3,8,31.481573,30.622619
109,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,241980,3,8,30.964265,25.840603
110,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,213572,3,8,30.694147,23.66829
111,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,188443,3,8,30.402459,21.55853
112,5,384,288,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,166973,3,8,30.102698,19.615129
