,id,filename,format_long_name,duration,size,bitrate_total,video_codec,video_profile,width,height,sample_aspect_ratio,display_aspect_ratio,bitrate_video,frame_rate,created_at,updated_at
19,38,/Volumes/pte/content/upload/watchfolder/annabelle-comes-home-trailer-1_h1080p.mov,QuickTime / MOV,150,177944733,9480904,h264,Main,1920,816,N/A,N/A,9354993,24000/1001,2019-04-10 13:02:36,2019-04-10 13:02:36
20,39,/Volumes/pte/content/upload/watchfolder/making-babies-trailer-1_h1080p.mov,QuickTime / MOV,133,163574997,9826189,h264,Main,1920,1056,N/A,N/A,9691161,24000/1001,2019-04-10 13:02:43,2019-04-10 13:02:43
21,40,/Volumes/pte/content/upload/watchfolder/stockholm-trailer-1-235_h1080p.mov,QuickTime / MOV,131,157641809,9623485,h264,Main,1920,816,N/A,N/A,9475505,24000/1001,2019-04-10 13:02:49,2019-04-10 13:02:49
22,41,/Volumes/pte/content/upload/watchfolder/the-brink-trailer-1b_h1080p.mov,QuickTime / MOV,133,166278221,9988576,h264,Main,1920,1080,N/A,N/A,9854594,24000/1001,2019-04-10 13:02:52,2019-04-10 13:02:52
23,42,/Volumes/pte/content/upload/watchfolder/the-beach-bum-trailer-2_h1080p.mov,QuickTime / MOV,145,162586071,8963880,h264,Main,1920,816,N/A,N/A,8825760,24000/1001,2019-04-10 13:02:56,2019-04-10 13:02:56
24,43,/Volumes/pte/content/upload/watchfolder/the-tomorrow-man-trailer-1_h1080p.mov,QuickTime / MOV,149,179144596,9595476,h264,Main,1920,816,N/A,N/A,9465159,24000/1001,2019-04-10 13:02:59,2019-04-10 13:02:59
25,44,/Volumes/pte/content/upload/watchfolder/relaxer-trailer-1_h1080p.mov,QuickTime / MOV,113,135736219,9621329,h264,Main,1920,1056,N/A,N/A,9465490,24000/1001,2019-04-10 13:03:04,2019-04-10 13:03:04
26,45,/Volumes/pte/content/upload/watchfolder/el-chicano-trailer-1_h1080p.mov,QuickTime / MOV,135,161201279,9569707,h264,Main,1920,816,N/A,N/A,9439421,24000/1001,2019-04-10 13:03:04,2019-04-10 13:03:04
27,46,/Volumes/pte/content/upload/watchfolder/pet-sematary-trailer-2_h1080p.mov,QuickTime / MOV,150,181106374,9649357,h264,Main,1920,816,N/A,N/A,9518786,24000/1001,2019-04-10 13:56:26,2019-04-10 13:56:26
28,47,/Volumes/pte/content/upload/watchfolder/meeting-gorbachev-trailer-1b_h1080p.mov,QuickTime / MOV,125,151861446,9709811,h264,Main,1920,1080,N/A,N/A,9574290,25/1,2019-04-10 13:56:28,2019-04-10 13:56:28
29,48,/Volumes/pte/content/upload/watchfolder/uglydolls-trailer-2_h1080p.mov,QuickTime / MOV,166,196178369,9478169,h264,Main,1920,1056,N/A,N/A,9349546,24/1,2019-04-10 13:56:35,2019-04-10 13:56:35
30,49,/Volumes/pte/content/upload/watchfolder/screwball-trailer-1b_h1080p.mov,QuickTime / MOV,138,171010084,9891777,h264,Main,1920,1080,N/A,N/A,9757895,24000/1001,2019-04-10 13:56:38,2019-04-10 13:56:38
31,50,/Volumes/pte/content/upload/watchfolder/biggest-little-farm-trailer-1_h1080p.mov,QuickTime / MOV,149,179155132,9609458,h264,Main,1920,816,1:1,40:17,9474228,24000/1001,2019-04-10 13:56:44,2019-04-10 13:56:44
32,83,/Volumes/pte/content/upload/ytdl--40uOVBYUms.mp4,QuickTime / MOV,119,33655192,2264094,h264,High,1920,1080,N/A,N/A,2264094,30000/1001,2019-04-29 10:57:28,2019-04-29 10:57:28
33,84,/Volumes/pte/content/upload/ytdl-88O_UD4PodA.mp4,QuickTime / MOV,171,65945909,3089524,h264,High,1920,1080,N/A,N/A,3089524,25/1,2019-04-29 10:57:29,2019-04-29 10:57:29
34,85,/Volumes/pte/content/upload/ytdl-Ez5rsKuNs1g.mp4,QuickTime / MOV,150,73456954,3926004,h264,High,1920,1080,1:1,16:9,3926004,30000/1001,2019-04-29 10:57:31,2019-04-29 10:57:31
35,86,/Volumes/pte/content/upload/ytdl-LLDAbhFpgIE.mp4,Matroska / WebM,463,101533209,1753107,vp9,Profile 0,1920,1080,1:1,16:9,1753107,30000/1001,2019-04-29 10:57:32,2019-04-29 10:57:32
36,87,/Volumes/pte/content/upload/ytdl-kIdT3YPzB2w.mp4,QuickTime / MOV,153,97638834,5117004,h264,High,1920,1080,1:1,16:9,5117004,60/1,2019-04-29 10:57:33,2019-04-29 10:57:33
37,88,/Volumes/pte/content/upload/ytdl-nFtd2jOVjHo.mp4,QuickTime / MOV,402,194330099,3867907,h264,High,1920,1080,1:1,16:9,3867907,30/1,2019-04-29 10:57:35,2019-04-29 10:57:35
