encode_id,clip_id,encode_width,encode_height,clip_width,clip_height,clip_duration,clip_size,clip_bitrate_total,video_profile,clip_frame_rate,crf,encode_bitrate_video,psnr,vmaf
56,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,377170,31.981596,39.864386
57,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,301491,31.225136,33.511773
58,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,243123,30.46567,27.803832
59,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,40,174518,29.295461,20.32363
60,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,43,126622,28.12403,14.393283
61,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,45,104034,27.325371,10.955153
62,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,50,56284,25.032562,5.215762
63,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,55,49899,24.717243,4.298901
64,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,2660757,36.027116,79.147928
65,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,2268317,35.844437,77.453785
66,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,1942336,35.645268,75.588479
67,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,1451417,35.201419,71.252856
68,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,1264769,34.956286,68.785073
69,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,956989,34.422429,63.397012
70,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,728968,33.820657,57.318616
71,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,559705,33.16229,50.733162
72,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,492236,32.816118,47.365311
73,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,434871,32.465148,43.912498
74,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,385628,32.10497,40.584433
75,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,342557,31.738635,37.397815
76,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,273807,31.005373,31.330402
77,5,640,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,220878,30.252975,25.890393
